NOM et PRENOMS,SEXE,MATRICULE,ANCIENNETE,DATE ET LIEU DE NAISSANCE,RESIDENCE
NGOUANET FLORENCE,F,250001,Nouveau,14/02/2011 à Yaoundé,damas
KENGNE DAVID,M,250002,Nouveau,28/06/2011 à Douala,biyemassi
ABEGA THOMAS,M,250003,Nouveau,11/10/2011 à Bafoussam,eloumdem
TCHOUPO RACHEL,F,250004,Nouveau,05/01/2011 à Garoua,simbock
NKOUMOU JOSEPH,M,250005,Nouveau,19/04/2011 à Maroua,mendong
MBENGUE SOPHIE,F,250006,Nouveau,02/08/2011 à Ngaoundéré,bonas
FOKOUE MARC,M,250007,Nouveau,26/11/2011 à Bertoua,bastos
KEMAJOU GRACE,F,250008,Nouveau,10/03/2011 à Ebolowa,etoudi
TCHANA PAUL,M,250009,Nouveau,24/07/2011 à Limbe,nkozoa
NGOUANET CLAIRE,F,250010,Nouveau,07/12/2011 à Bamenda,nlongkak
KENGNE EMMANUEL,M,250011,Nouveau,21/05/2011 à Buea,akak
ABEGA MARIE,F,250012,Nouveau,04/09/2011 à Kribi,ebang
TCHOUPO ANNE,F,250013,Nouveau,18/01/2011 à Nkongsamba,olembe
NKOUMOU DAVID,M,250014,Nouveau,01/06/2011 à Edéa,obobogo
MBENGUE PATRICK,M,250015,Nouveau,15/10/2011 à Sangmélima,efoulan
FOKOUE JEAN,M,250016,Nouveau,29/02/2011 à Abong-Mbang,obili
KEMAJOU SARAH,F,250017,Nouveau,13/07/2011 à Foumban,scalom
TCHANA DAVID,M,250018,Nouveau,27/11/2011 à Mbalmayo,tkc
NGOUANET EMMANUEL,M,250019,Nouveau,10/04/2011 à Meiganga,etougebe
KENGNE ALICE,F,250020,Nouveau,24/08/2011 à Yokadouma,bariere
ABEGA JOSEPH,M,250021,Nouveau,07/12/2011 à Batouri,ahala
TCHOUPO CLAIRE,F,250022,Nouveau,21/03/2011 à Kousséri,nsam
NKOUMOU MARIE,F,250023,Nouveau,04/07/2011 à Mora,messasi
MBENGUE CLAIRE,F,250024,Nouveau,18/10/2011 à Yagoua,ngwa-kele
FOKOUE PAUL,M,250025,Nouveau,01/02/2011 à Kaélé,cradat
KEMAJOU THOMAS,M,250026,Nouveau,15/05/2011 à Guider,nkolmesseng
TCHANA MARC,M,250027,Nouveau,29/08/2011 à Mbé,nkoabang
NGOUANET RACHEL,F,250028,Nouveau,12/11/2011 à Tibati,essomba
KENGNE SOPHIE,F,250029,Nouveau,26/01/2011 à Ngaoundal,mballa2
ABEGA ANNE,F,250030,Nouveau,09/04/2011 à Tcholliré,soa
TCHOUPO JOSEPH,M,250031,Nouveau,23/07/2011 à Rey Bouba,eloumbem
NKOUMOU CLAUDE,M,250032,Nouveau,06/10/2011 à Garoua-Boulaï,badoumou
MBENGUE MARIE,F,250033,Nouveau,20/12/2011 à Bertoua,biteng
FOKOUE EMMANUEL,M,250034,Nouveau,03/03/2011 à Abong-Mbang,obala
KEMAJOU PAUL,M,250035,Nouveau,17/06/2011 à Doumé,jouvence
TCHANA FLORENCE,F,250036,Nouveau,30/09/2011 à Yokadouma,melen
NGOUANET GRACE,F,250037,Nouveau,13/12/2011 à Lomié,eligessono
KENGNE PATRICK,M,250038,Nouveau,27/02/2011 à Dimako,nkolbisson
ABEGA DAVID,M,250039,Nouveau,11/05/2011 à Messamena,eligeffa
TCHOUPO MARC,M,250040,Nouveau,25/08/2011 à Moloundou,ekorezok
NKOUMOU THOMAS,M,250041,Nouveau,08/11/2011 à Sangmélima,omnisport
MBENGUE ANNE,F,250042,Nouveau,22/01/2011 à Ebolowa,briquetterie
FOKOUE JOSEPH,M,250043,Nouveau,05/04/2011 à Ambam,mokolo
KEMAJOU CLAIRE,F,250044,Nouveau,19/07/2011 à Kribi,eligjua
TCHANA MARIE,F,250045,Nouveau,02/10/2011 à Edéa,emmana
NGOUANET SARAH,F,250046,Nouveau,16/12/2011 à Nkongsamba,awai
KENGNE PAUL,M,250047,Nouveau,29/03/2011 à Bafang,mvan
ABEGA THOMAS,M,250048,Nouveau,12/07/2011 à Dschang,mbalgong
TCHOUPO DAVID,M,250049,Nouveau,26/10/2011 à Bafoussam,nsimeyong
NKOUMOU EMMANUEL,M,250050,Nouveau,09/02/2011 à Foumban,akokndoe
