NOM et PRENOMS,SEXE,MATRICULE,ANCIENNETE,DATE ET LIEU DE NAISSANCE,RESIDENCE
Noms & prénoms Eleve 0,F,241221192,Nouveau,14/06/2012 à Endengue, 
Noms & prénoms Eleve 1,M,240336198,Triple,18 /05/2012 à Mbalmayo, 
Noms & prénoms Eleve 2,M,240878517,Nouveau,, 
Noms & prénoms Eleve 3,F,240336102,Nouveau,08.07.2007, 
Noms & prénoms Eleve 4,M,240513036,Nouveau,23/12/2011 à Mbalmayo, 
Noms & prénoms Eleve 5,M,241221798,Triple,01 /06/2011 à MEKOMO, 
Noms & prénoms Eleve 6,M,240336153,Nouveau,18/04/2012  à Mekomo, 
Noms & prénoms Eleve 7,F,240512345,Nouveau,15/03/2012 à Yaoundé, 
Noms & prénoms Eleve 8,M,240678901,Triple,22/08/2011 à Douala, 
Noms & prénoms Eleve 9,F,240789012,Nouveau,10/11/2012 à Bafoussam, 
Noms & prénoms Eleve 10,M,240890123,Triple,05/01/2011 à Garoua, 
Noms & prénoms Eleve 11,F,240901234,Nouveau,30/09/2012 à Maroua, 
Noms & prénoms Eleve 12,M,240912345,Nouveau,12/07/2012 à Ngaoundéré, 
Noms & prénoms Eleve 13,F,241023456,Triple,25/04/2011 à Bertoua, 
Noms & prénoms Eleve 14,M,241134567,Nouveau,08/12/2012 à Ebolowa, 
Noms & prénoms Eleve 15,F,241245678,Triple,17/02/2011 à Limbe,
